i275446840,c16330274,0036-9543 0036-9546 z,PB1007545,screen,"Screen (London, England)"
i275471548,c24498361,0743-4545 0743-4545 1,PB1012660,film and video makers travel sheet,
i275477265,c2450144x,0015-1610 0015-1610 1,PB1013312,filmmakers newsletter,
i275426270,c21926451,0300-7472,PB1011443,afterimage,
i275452967,c24357613,0027-0407,PB1010226,monthly film bulletin,
i275476790,c24501402,0306-7661 0306-7661,PB1013412,framework,
i275440114,c21349447,0731-5198,PB1013620,the independent,"Independent (New York, N.Y. : 1978)"
i275487131,c24502571,0306-0691,PB1014478,screen education,Screen education (1974)
i275465536,c24495724,1041-617X 1,PB1011886,animation magazine,
i275450673,c24357571,0019-3712 0019-3712 1,PB1014073,the independent film journal,
i275483964,c24501840,0885-5021 0885-5021 1,PB1014244,movietone news,
i275460952,c24373679,0045-1150,PB1011676,l'avant-scène cinéma,
i275476133,c24501347,0015-1475,PB1012975,film world,"Film world (Bombay, India)"
i275470830,c24498361,0743-4545 0743-4545 1,PB1012588,film and video makers travel sheet,
i275427055,c21926451,0300-7472,PB1009238,afterimage,
i275422574,c14643856,0015-1327 0160-7316,PB1012825,film library quarterly,
i275453212,c24357613,0027-0407,PB1007518,monthly film bulletin,
i275473569,c24500331,0311-3639 0311-3639,PB1012951,cinema papers,
i275423992,c22834175,0738-7563,PB1014599,video networks,
i275433122,c1740910x,0199-7300 1,PB1008493,the film journal,
i275441532,c17414477,1077-9361 0742-533 0742-5333 1,PB1008952,international documentary,
i275439586,c21349447,0731-5198,PB1013567,the independent,"Independent (New York, N.Y. : 1978)"
i275456936,c24364617,0008-011X 0757-8075,PB1010478,cahiers du cinéma,
i275439859,c21349447,0731-5198,PB1013594,the independent,"Independent (New York, N.Y. : 1978)"
i275423190,c22834175,0738-7563,PB1014519,video networks,
i275455919,c24364617,0008-011X 0757-8075,PB1010501,cahiers du cinéma,
i275461233,c24373679,0045-1150,PB1010886,l'avant-scène cinéma,
i275458982,c24373667,0048-4911 0048-4911 z,PB1010710,positif,
i275463370,c24373643,0894-9263 0894-9263 1,PB1010991,premiere,"Premiere (New York, N.Y. : 1987)"
i275471305,c24498361,0743-4545 0743-4545 1,PB1012635,film and video makers travel sheet,
i275423220,c22834175,0738-7563,PB1014522,video networks,
i275467259,c24497320,0006-8527 0006-8527 1,PB1012062,box office,
i275472966,c24500331,0311-3639 0311-3639,PB1012740,cinema papers,
i275460575,c24373679,0045-1150,PB1011636,l'avant-scène cinéma,
i275461622,c24373679,0045-1150,PB1011727,l'avant-scène cinéma,
i275461154,c24373679,0045-1150,PB1010878,l'avant-scène cinéma,
i275485110,c2450192x,1050-9208 0146-0013 z,PB1014624,quarterly review of film and video,
i27544028x,c21349447,0731-5198,PB1013637,the independent,"Independent (New York, N.Y. : 1978)"
i275471044,c24498361,0743-4545 0743-4545 1,PB1012609,film and video makers travel sheet,
i27545745x,c2436535x,0361-4751,PB1010162,american film,
i27544661x,c16330274,0036-9543 0036-9546 z,PB1012363,screen,"Screen (London, England)"
i275426865,c21926451,0300-7472,PB1009219,afterimage,
i275457187,c24364617,0008-011X 0757-8075,PB1010569,cahiers du cinéma,
i275481955,c24501785,0025-6897 0025-6897 1,PB1013938,media and methods,
i275432944,c1740910x,0199-7300 1,PB1008475,the film journal,
i275459123,c24373667,0048-4911 0048-4911 z,PB1010724,positif,
i275439148,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012043,the independent film & video monthly,
i275467879,c2449737x,0826-9866,PB1012204,cineaction!,
i275423517,c22834175,0738-7563,PB1014551,video networks,
i275460393,c24373679,0045-1150,PB1010861,l'avant-scène cinéma,
i275465706,c24495724,1041-617X 1,PB1011903,animation magazine,
i275470799,c24498361,0743-4545 0743-4545 1,PB1012584,film and video makers travel sheet,
i275478038,c2450144x,0015-1610 0015-1610 1,PB1013281,filmmakers newsletter,
i275474471,c24500380,0015-1025 0015-1025 z,PB1013031,film,"Film (London, England : 1954)"
i275442251,c24884753,0195-6051 0195-6051 0047-2719 1,PB1009810,the journal of popular film and television,
i275458295,c24373667,0048-4911 0048-4911 z,PB1010640,positif,
i27544188x,c17414477,1077-9361 0742-533 0742-5333 1,PB1008969,international documentary,
i275456328,c24364617,0008-011X 0757-8075,PB1010446,cahiers du cinéma,
i27546961x,c24497484,0886-6570 0886-6570 1,PB1012420,cinematograph,
i275451112,c24357571,0019-3712 0019-3712 1,PB1014117,the independent film journal,
i275426488,c21926451,0300-7472,PB1011343,afterimage,
i275438363,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013688,the independent film & video monthly,
i275432658,c1740910x,0199-7300 1,PB1008446,the film journal,
i27546216x,c24373679,0045-1150,PB1010963,l'avant-scène cinéma,
i275458477,c24373667,0048-4911 0048-4911 z,PB1010658,positif,
i275433717,c1740910x,0199-7300 1,PB1008552,the film journal,
i275486825,c24502571,0306-0691,PB1014447,screen education,Screen education (1974)
i275431976,c1740910x,0199-7300 1,PB1008377,the film journal,
i275423761,c22834175,0738-7563,PB1014576,video networks,
i275472140,c24499419,0163-5069 0163-5069 1,PB1012482,film criticism,
i275483551,c24501839,0164-9655 0164-9655 1,PB1014022,millimeter,
i275476303,c24501360,0015-5128,PB1013363,focus on film,
i275483228,c24501839,0164-9655 0164-9655 1,PB1013989,millimeter,
i275466425,c24497307,0158-4154 0158-4154,PB1012137,cantrill's filmnotes,
i275463412,c24373643,0894-9263 0894-9263 1,PB1010995,premiere,"Premiere (New York, N.Y. : 1987)"
i275466395,c24496601,0847-5911,PB1011960,revue canadienne d'études cinématographiques,
i275484026,c24501840,0885-5021 0885-5021 1,PB1014250,movietone news,
i275474811,c24500380,0015-1025 0015-1025 z,PB1013065,film,"Film (London, England : 1954)"
i275484798,c24501906,0146-0013,PB1014631,quarterly review of film studies,
i275423505,c22834175,0738-7563,PB1014550,video networks,
i275471822,c24499390,0360-3695 0885-1107,PB1012528,film & history,
i275457217,c24364617,0008-011X 0757-8075,PB1010572,cahiers du cinéma,
i275432440,c1740910x,0199-7300 1,PB1008425,the film journal,
i275442615,c17212534,0277-9897,PB1008179,post script,"Post script (Jacksonville, Fla.)"
i275425460,c21926451,0300-7472,PB1011361,afterimage,
i275484245,c24501840,0885-5021 0885-5021 1,PB1014272,movietone news,
i275441702,c17414477,1077-9361 0742-533 0742-5333 1,PB1008978,international documentary,
i275449889,c24144083,0732-538X 1,PB1009939,photoplay,
i275432191,c1740910x,0199-7300 1,PB1008400,the film journal,
i275459913,c24373679,0045-1150,PB1010814,l'avant-scène cinéma,
i275478324,c24501487,1063-8954 1063-8954 1,PB1013133,filmmaker,
i275460496,c24373679,0045-1150,PB1010871,l'avant-scène cinéma,
i275460149,c24373679,0045-1150,PB1010837,l'avant-scène cinéma,
i275480239,c24501670,0751-7033,PB1013734,iris,Collection  Iris  (Plon (Firm))
i275439446,c22709022,1077-8918 1077-8918 0731-5198 1,PB1008944,the independent film & video monthly,
i275460721,c24373679,0045-1150,PB1011651,l'avant-scène cinéma,
i275485043,c2450192x,1050-9208 0146-0013 z,PB1014617,quarterly review of film and video,
i275481013,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013812,main,"MAIN (Oakland, Calif.)"
i275477897,c2450144x,0015-1610 0015-1610 1,PB1013267,filmmakers newsletter,
i275469840,c24498294,1049-0434 1049-0434 1,PB1012427,entertainment weekly,
i275447017,c16330274,0036-9543 0036-9546 z,PB1009364,screen,"Screen (London, England)"
i275475025,c24500380,0015-1025 0015-1025 z,PB1013086,film,"Film (London, England : 1954)"
i27548094x,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013805,main,"MAIN (Oakland, Calif.)"
i275439628,c21349447,0731-5198,PB1013571,the independent,"Independent (New York, N.Y. : 1978)"
i275458325,c24373667,0048-4911 0048-4911 z,PB1010643,positif,
i275433481,c1740910x,0199-7300 1,PB1008529,the film journal,
i275455105,c24358563,0037-4830,PB1011291,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275486795,c24502571,0306-0691,PB1014444,screen education,Screen education (1974)
i275456870,c24364617,0008-011X 0757-8075,PB1010472,cahiers du cinéma,
i275461452,c24373679,0045-1150,PB1011710,l'avant-scène cinéma,
i275438570,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013707,the independent film & video monthly,
i275440540,c21349447,0731-5198,PB1013663,the independent,"Independent (New York, N.Y. : 1978)"
i275477794,c2450144x,0015-1610 0015-1610 1,PB1013257,filmmakers newsletter,
i275482091,c24501785,0025-6897 0025-6897 1,PB1013952,media and methods,
i275426075,c21926451,0300-7472,PB1011423,afterimage,
i275450478,c24357571,0019-3712 0019-3712 1,PB1014053,the independent film journal,
i27545065x,c24357571,0019-3712 0019-3712 1,PB1014071,the independent film journal,
i275471561,c24498361,0743-4545 0743-4545 1,PB1012661,film and video makers travel sheet,
i275446864,c16330274,0036-9543 0036-9546 z,PB1007278,screen,"Screen (London, England)"
i275458660,c24373667,0048-4911 0048-4911 z,PB1010677,positif,
i275426294,c21926451,0300-7472,PB1011445,afterimage,
i275452906,c24357613,0027-0407,PB1010220,monthly film bulletin,
i275451306,c24357571,0019-3712 0019-3712 1,PB1014136,the independent film journal,
i275440138,c21349447,0731-5198,PB1013622,the independent,"Independent (New York, N.Y. : 1978)"
i275487118,c24502571,0306-0691,PB1014476,screen education,Screen education (1974)
i275438284,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012033,the independent film & video monthly,
i275465512,c24495724,1041-617X 1,PB1011884,animation magazine,
i27543817x,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012023,the independent film & video monthly,
i27547611x,c24501347,0015-1475,PB1012973,film world,"Film world (Bombay, India)"
i275483940,c24501840,0885-5021 0885-5021 1,PB1014242,movietone news,
i27543882x,c22709022,1077-8918 1077-8918 0731-5198 1,PB1009303,the independent film & video monthly,
i275458088,c24373667,0048-4911 0048-4911 z,PB1010619,positif,
i275473405,c24500331,0311-3639 0311-3639,PB1012784,cinema papers,
i275477538,c2450144x,0015-1610 0015-1610 1,PB1013193,filmmakers newsletter,
i275460939,c24373679,0045-1150,PB1011674,l'avant-scène cinéma,
i275477241,c2450144x,0015-1610 0015-1610 1,PB1013310,filmmakers newsletter,
i275470817,c24498361,0743-4545 0743-4545 1,PB1012586,film and video makers travel sheet,
i275483058,c24501839,0164-9655 0164-9655 1,PB1013972,millimeter,
i275422598,c14643856,0015-1327 0160-7316,PB1012827,film library quarterly,
i275473545,c24500331,0311-3639 0311-3639,PB1012949,cinema papers,
i275441556,c17414477,1077-9361 0742-533 0742-5333 1,PB1008168,international documentary,
i275468707,c24497447,1027-5991 1027-5991,PB1012095,blimp,"Blimp (Graz, Austria)"
i275454885,c24358563,0037-4830,PB1011269,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275466899,c24497307,0158-4154 0158-4154,PB1012184,cantrill's filmnotes,
i275456481,c24364617,0008-011X 0757-8075,PB1010462,cahiers du cinéma,
i275463606,c24373643,0894-9263 0894-9263 1,PB1011014,premiere,"Premiere (New York, N.Y. : 1987)"
i275463357,c24373643,0894-9263 0894-9263 1,PB1010989,premiere,"Premiere (New York, N.Y. : 1987)"
i27545695x,c24364617,0008-011X 0757-8075,PB1010480,cahiers du cinéma,
i275471366,c24498361,0743-4545 0743-4545 1,PB1012641,film and video makers travel sheet,
i275423244,c22834175,0738-7563,PB1014524,video networks,
i275472942,c24500331,0311-3639 0311-3639,PB1012737,cinema papers,
i275449944,c24144083,0732-538X 1,PB1009945,photoplay,
i275467272,c24497320,0006-8527 0006-8527 1,PB1012064,box office,
i275460551,c24373679,0045-1150,PB1010877,l'avant-scène cinéma,
i275432270,c1740910x,0199-7300 1,PB1008408,the film journal,
i27545597x,c24364617,0008-011X 0757-8075,PB1010507,cahiers du cinéma,
i27545096x,c24357571,0019-3712 0019-3712 1,PB1014102,the independent film journal,
i27545910x,c24373667,0048-4911 0048-4911 z,PB1010722,positif,
i275461609,c24373679,0045-1150,PB1011725,l'avant-scène cinéma,
i275471020,c24498361,0743-4545 0743-4545 1,PB1012607,film and video makers travel sheet,
i275481979,c24501785,0025-6897 0025-6897 1,PB1013940,media and methods,
i275426841,c21926451,0300-7472,PB1009217,afterimage,
i275459457,c24373667,0048-4911 0048-4911 z,PB1010757,positif,
i275453820,c24358617,0090-4260,PB1010140,literature film quarterly,
i275471792,c24499390,0360-3695 0885-1107,PB1012525,film & history,
i275446670,c16330274,0036-9543 0036-9546 z,PB1012364,screen,"Screen (London, England)"
i275467855,c2449737x,0826-9866,PB1012202,cineaction!,
i275440187,c21349447,0731-5198,PB1013627,the independent,"Independent (New York, N.Y. : 1978)"
i275469451,c24497460,0009-7071 0009-7071 4,PB1012396,cinema canada,
i275469980,c24498294,1049-0434 1049-0434 1,PB1012441,entertainment weekly,
i275479948,c24501621,0143-9685 z,PB1013445,"historical journal of film, radio, and television",
i275481207,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013832,main,"MAIN (Oakland, Calif.)"
i275469189,c24497460,0009-7071 0009-7071 4,PB1012304,cinema canada,
i275470775,c24498361,0743-4545 0743-4545 1,PB1012582,film and video makers travel sheet,
i275478543,c24501499,0194-4339 0194-4339 1,PB1013156,filmmakers,
i275478014,c2450144x,0015-1610 0015-1610 1,PB1013279,filmmakers newsletter,
i275469670,c24498282,0145-6032 1,PB1012402,cinefantastique,
i275451689,c24357571,0019-3712 0019-3712 1,PB1014174,the independent film journal,
i27545213x,c24357571,0019-3712 0019-3712 1,PB1014219,the independent film journal,
i27546572x,c24495724,1041-617X 1,PB1011905,animation magazine,
i275474458,c24500380,0015-1025 0015-1025 z,PB1013029,film,"Film (London, England : 1954)"
i275458271,c24373667,0048-4911 0048-4911 z,PB1010638,positif,
i275447005,c16330274,0036-9543 0036-9546 z,PB1009363,screen,"Screen (London, England)"
i275478269,c24501487,1063-8954 1063-8954 1,PB1013127,filmmaker,
i275423384,c22834175,0738-7563,PB1014538,video networks,
i275455373,c24358563,0037-4830,PB1011318,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275456067,c24364617,0008-011X 0757-8075,PB1010517,cahiers du cinéma,
i275456304,c24364617,0008-011X 0757-8075,PB1010444,cahiers du cinéma,
i275438612,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013711,the independent film & video monthly,
i275458416,c24373667,0048-4911 0048-4911 z,PB1010652,positif,
i275462985,c24373618,1549-0068,PB1011048,"the quarterly of film, radio, and television",
i275481487,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013966,main,"MAIN (Oakland, Calif.)"
i27542229x,c14643856,0015-1327 0160-7316,PB1008677,film library quarterly,
i275423748,c22834175,0738-7563,PB1014574,video networks,
i275462183,c24373679,0045-1150,PB1010965,l'avant-scène cinéma,
i275472127,c24499419,0163-5069 0163-5069 1,PB1012480,film criticism,
i27543199x,c1740910x,0199-7300 1,PB1008378,the film journal,
i275476327,c24501360,0015-5128,PB1013365,focus on film,
i275483204,c24501839,0164-9655 0164-9655 1,PB1013987,millimeter,
i275440096,c21349447,0731-5198,PB1013618,the independent,"Independent (New York, N.Y. : 1978)"
i275433638,c1740910x,0199-7300 1,PB1008544,the film journal,
i275471809,c24499390,0360-3695 0885-1107,PB1012526,film & history,
i275474872,c24500380,0015-1025 0015-1025 z,PB1013071,film,"Film (London, England : 1954)"
i275457230,c24364617,0008-011X 0757-8075,PB1010574,cahiers du cinéma,
i275461981,c24373679,0045-1150,PB1010945,l'avant-scène cinéma,
i275457941,c24370617,1549-0076,PB1009627,hollywood quarterly,
i275458556,c24373667,0048-4911 0048-4911 z,PB1010666,positif,
i275432464,c1740910x,0199-7300 1,PB1008426,the film journal,
i275441106,c17414477,1077-9361 0742-533 0742-5333 1,PB1008124,international documentary,
i275440898,c17414477,1077-9361 0742-533 0742-5333 1,PB1008103,international documentary,
i275441763,c17414477,1077-9361 0742-533 0742-5333 1,PB1008980,international documentary,
i275427158,c21926451,0300-7472,PB1013216,afterimage,
i275422434,c14643856,0015-1327 0160-7316,PB1012812,film library quarterly,
i275484002,c24501840,0885-5021 0885-5021 1,PB1014248,movietone news,
i275466401,c24496601,0847-5911,PB1011961,revue canadienne d'études cinématographiques,
i275481785,c24501785,0025-6897 0025-6897 1,PB1013876,media and methods,
i275460125,c24373679,0045-1150,PB1010835,l'avant-scène cinéma,
i275425800,c21926451,0300-7472,PB1011396,afterimage,
i275447388,c14756985,0160-6840,PB1007489,wide angle,
i275456547,c24364617,0008-011X 0757-8075,PB1010525,cahiers du cinéma,
i275480781,c24501736,0191-541X,PB1013789,lighting dimensions,
i275484269,c24501840,0885-5021 0885-5021 1,PB1014274,movietone news,
i275466668,c24497307,0158-4154 0158-4154,PB1012161,cantrill's filmnotes,
i275463291,c24373643,0894-9263 0894-9263 1,PB1010983,premiere,"Premiere (New York, N.Y. : 1987)"
i275442238,c24884753,0195-6051 0195-6051 0047-2719 1,PB1009764,the journal of popular film and television,
i275467132,c24497319,0147-4049 0147-4049 1,PB1012136,bright lights,
i275469864,c24498294,1049-0434 1049-0434 1,PB1012429,entertainment weekly,
i275475001,c24500380,0015-1025 0015-1025 z,PB1013084,film,"Film (London, England : 1954)"
i275447030,c16330274,0036-9543 0036-9546 z,PB1013219,screen,"Screen (London, England)"
i275439392,c22709022,1077-8918 1077-8918 0731-5198 1,PB1008939,the independent film & video monthly,
i275455166,c24358563,0037-4830,PB1011297,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275456158,c24364617,0008-011X 0757-8075,PB1010429,cahiers du cinéma,
i275461294,c24373679,0045-1150,PB1010892,l'avant-scène cinéma,
i275484919,c24501906,0146-0013,PB1014643,quarterly review of film studies,
i275463837,c24369780,0015-153X,PB1010182,filmfacts,
i275469244,c24497460,0009-7071 0009-7071 4,PB1012310,cinema canada,
i275461476,c24373679,0045-1150,PB1011712,l'avant-scène cinéma,
i275440564,c21349447,0731-5198,PB1013665,the independent,"Independent (New York, N.Y. : 1978)"
i275426051,c21926451,0300-7472,PB1011421,afterimage,
i275472334,c24499419,0163-5069 0163-5069 1,PB1012501,film criticism,
i275426725,c21926451,0300-7472,PB1009205,afterimage,
i275478208,c2450144x,0015-1610 0015-1610 1,PB1013299,filmmakers newsletter,
i275478750,c24501499,0194-4339 0194-4339 1,PB1013176-,filmmakers,
i275451094,c24357571,0019-3712 0019-3712 1,PB1014115,the independent film journal,
i27545292x,c24357613,0027-0407,PB1010222,monthly film bulletin,
i27547236x,c24499419,0163-5069 0163-5069 1,PB1012504,film criticism,
i275447406,c14756985,0160-6840,PB1007491,wide angle,
i275459664,c24373667,0048-4911 0048-4911 z,PB1010778,positif,
i275471585,c24498361,0743-4545 0743-4545 1,PB1012663,film and video makers travel sheet,
i275446803,c16330274,0036-9543 0036-9546 z,PB1007273,screen,"Screen (London, England)"
i275458647,c24373667,0048-4911 0048-4911 z,PB1010675,positif,
i275422197,c22828242,0039-9132,PB1010294,take one,
i275454782,c24358563,0037-4830,PB1011259,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275440151,c21349447,0731-5198,PB1013624,the independent,"Independent (New York, N.Y. : 1978)"
i275465573,c24495724,1041-617X 1,PB1011890,animation magazine,
i275487179,c24502571,0306-0691,PB1014482,screen education,Screen education (1974)
i275425381,c17398411,0261-4472,PB1011329,afterimage,"Afterimage (London, England)"
i275470180,c24498294,1049-0434 1049-0434 1,PB1012461,entertainment weekly,
i275483927,c24501840,0885-5021 0885-5021 1,PB1014240,movietone news,
i275450867,c24357571,0019-3712 0019-3712 1,PB1014092,the independent film journal,
i275483691,c24501839,0164-9655 0164-9655 1,PB1014036,millimeter,
i275422604,c14643856,0015-1327 0160-7316,PB1012828,film library quarterly,
i275438624,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013712,the independent film & video monthly,
i275433699,c1740910x,0199-7300 1,PB1008550,the film journal,
i275453789,c24358617,0090-4260,PB1010136,literature film quarterly,
i27544157x,c17414477,1077-9361 0742-533 0742-5333 1,PB1008955,international documentary,
i275473429,c24500331,0311-3639 0311-3639,PB1012786,cinema papers,
i275470234,c24498294,1049-0434 1049-0434 1,PB1012466,entertainment weekly,
i275483071,c24501839,0164-9655 0164-9655 1,PB1013974,millimeter,
i275476170,c24501347,0015-1475,PB1012979,film world,"Film world (Bombay, India)"
i275425599,c21926451,0300-7472,PB1011375,afterimage,
i275427092,c21926451,0300-7472,PB1009242,afterimage,
i275438806,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013730,the independent film & video monthly,
i275486990,c24502571,0306-0691,PB1014464,screen education,Screen education (1974)
i275473521,c24500331,0311-3639 0311-3639,PB1012796,cinema papers,
i275481694,c24501785,0025-6897 0025-6897 1,PB1013867,media and methods,
i275460216,c24373679,0045-1150,PB1010843,l'avant-scène cinéma,
i275456973,c24364617,0008-011X 0757-8075,PB1011744,cahiers du cinéma,
i106489513,c14687197,0047-2719 0047-2719 1,,the journal of popular film,
i275466875,c24497307,0158-4154 0158-4154,PB1012182,cantrill's filmnotes,
i27546362x,c24373643,0894-9263 0894-9263 1,PB1011016,premiere,"Premiere (New York, N.Y. : 1987)"
i275455956,c24364617,0008-011X 0757-8075,PB1010505,cahiers du cinéma,
i275474999,c24500380,0015-1025 0015-1025 z,PB1013083,film,"Film (London, England : 1954)"
i275423268,c22834175,0738-7563,PB1014526,video networks,
i275463333,c24373643,0894-9263 0894-9263 1,PB1010987,premiere,"Premiere (New York, N.Y. : 1987)"
i275471342,c24498361,0743-4545 0743-4545 1,PB1012639,film and video makers travel sheet,
i275472929,c24500331,0311-3639 0311-3639,PB1012734,cinema papers,
i275449968,c24144083,0732-538X 1,PB1013124,photoplay,
i275432257,c1740910x,0199-7300 1,PB1008406,the film journal,
i275442007,c24884753,0195-6051 0195-6051 0047-2719 1,PB1007501,the journal of popular film and television,
i275459895,c24373679,0045-1150,PB1010812,l'avant-scène cinéma,
i275439987,c21349447,0731-5198,PB1013607,the independent,"Independent (New York, N.Y. : 1978)"
i275471007,c24498361,0743-4545 0743-4545 1,PB1012605,film and video makers travel sheet,
i275481992,c24501785,0025-6897 0025-6897 1,PB1013942,media and methods,
i275427122,c21926451,0300-7472,PB1009245,afterimage,
i27546166x,c24373679,0045-1150,PB1011731,l'avant-scène cinéma,
i275426002,c21926451,0300-7472,PB1011416,afterimage,
i275459470,c24373667,0048-4911 0048-4911 z,PB1010759,positif,
i275439185,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012053,the independent film & video monthly,
i275446657,c16330274,0036-9543 0036-9546 z,PB1007263,screen,"Screen (London, England)"
i275481190,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013831,main,"MAIN (Oakland, Calif.)"
i275457497,c2436535x,0361-4751,PB1010166,american film,
i275467831,c2449737x,0826-9866,PB1012200,cineaction!,
i275425630,c21926451,0300-7472,PB1011379,afterimage,
i27545714x,c24364617,0008-011X 0757-8075,PB1010564,cahiers du cinéma,
i275469475,c24497460,0009-7071 0009-7071 4,PB1012398,cinema canada,
i275481438,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013961,main,"MAIN (Oakland, Calif.)"
i275465962,c24495724,1041-617X 1,PB1011929,animation magazine,
i275465743,c24495724,1041-617X 1,PB1011907,animation magazine,
i275479961,c24501621,0143-9685 z,PB1013447,"historical journal of film, radio, and television",
i275432725,c1740910x,0199-7300 1,PB1008453,the film journal,
i275425551,c21926451,0300-7472,PB1011371,afterimage,
i275469657,c24498282,0145-6032 1,PB1012400,cinefantastique,
i275478567,c24501499,0194-4339 0194-4339 1,PB1013158,filmmakers,
i275451665,c24357571,0019-3712 0019-3712 1,PB1014172,the independent film journal,
i275474434,c24500380,0015-1025 0015-1025 z,PB1013027,film,"Film (London, England : 1954)"
i275458258,c24373667,0048-4911 0048-4911 z,PB1010636,positif,
i275458787,c24373667,0048-4911 0048-4911 z,PB1010689,positif,
i275455312,c24358563,0037-4830,PB1011312,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275478695,c24501499,0194-4339 0194-4339 1,PB1013171,filmmakers,
i275461087,c24373679,0045-1150,PB1011689,l'avant-scène cinéma,
i275456365,c24364617,0008-011X 0757-8075,PB1010450,cahiers du cinéma,
i275451409,c24357571,0019-3712 0019-3712 1,PB1014146,the independent film journal,
i275459780,c24373667,0048-4911 0048-4911 z,PB1010792,positif,
i275438326,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012037,the independent film & video monthly,
i27542389x,c22834175,0738-7563,PB1014589,video networks,
i275462213,c24373679,0045-1150,PB1010968,l'avant-scène cinéma,
i275432890,c1740910x,0199-7300 1,PB1008470,the film journal,
i27545843x,c24373667,0048-4911 0048-4911 z,PB1010654,positif,
i275477162,c2450144x,0015-1610 0015-1610 1,PB1013141,filmmakers newsletter,
i275423724,c22834175,0738-7563,PB1014572,video networks,
i275426555,c21926451,0300-7472,PB1011350,afterimage,
i275458611,c24373667,0048-4911 0048-4911 z,PB1010672,positif,
i275423323,c22834175,0738-7563,PB1014532,video networks,
i275483265,c24501839,0164-9655 0164-9655 1,PB1013993,millimeter,
i275476340,c24501360,0015-5128,PB1013367,focus on film,
i275450752,c24357571,0019-3712 0019-3712 1,PB1014081,the independent film journal,
i275451446,c24357571,0019-3712 0019-3712 1,PB1014150,the independent film journal,
i275438636,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013713,the independent film & video monthly,
i275441295,c17414477,1077-9361 0742-533 0742-5333 1,PB1008947,international documentary,
i275474859,c24500380,0015-1025 0015-1025 z,PB1013069,film,"Film (London, England : 1954)"
i275423098,c22834175,0738-7563,PB1014509,video networks,
i275457965,c24370617,1549-0076,PB1009629,hollywood quarterly,
i275432403,c1740910x,0199-7300 1,PB1008421,the film journal,
i275426269,c21926451,0300-7472,PB1011442,afterimage,
i275422410,c14643856,0015-1327 0160-7316,PB1012810,film library quarterly,
i275427171,c21926451,0300-7472,PB1009770,afterimage,
i275484063,c24501840,0885-5021 0885-5021 1,PB1014254,movietone news,
i275466462,c24497307,0158-4154 0158-4154,PB1012141,cantrill's filmnotes,
i275481761,c24501785,0025-6897 0025-6897 1,PB1013874,media and methods,
i275460101,c24373679,0045-1150,PB1010833,l'avant-scène cinéma,
i275467338,c24497320,0006-8527 0006-8527 1,PB1012070,box office,
i275460459,c24373679,0045-1150,PB1010867,l'avant-scène cinéma,
i275425824,c21926451,0300-7472,PB1011398,afterimage,
i275456560,c24364617,0008-011X 0757-8075,PB1010527,cahiers du cinéma,
i275441039,c17414477,1077-9361 0742-533 0742-5333 1,PB1008117,international documentary,
i275484282,c24501840,0885-5021 0885-5021 1,PB1014276,movietone news,
i275480902,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013801,main,"MAIN (Oakland, Calif.)"
i275439409,c22709022,1077-8918 1077-8918 0731-5198 1,PB1008940,the independent film & video monthly,
i275433316,c1740910x,0199-7300 1,PB1008511,the film journal,
i275481505,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013968,main,"MAIN (Oakland, Calif.)"
i27546748x,c24497320,0006-8527 0006-8527 1,PB1012085,box office,
i275442214,c24884753,0195-6051 0195-6051 0047-2719 1,PB1009116,the journal of popular film and television,
i275475062,c24500380,0015-1025 0015-1025 z,PB1013090,film,"Film (London, England : 1954)"
i275468689,c24497447,1027-5991 1027-5991,PB1012093,blimp,"Blimp (Graz, Austria)"
i27544174x,c17414477,1077-9361 0742-533 0742-5333 1,PB1008974,international documentary,
i275455142,c24358563,0037-4830,PB1011295,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275461270,c24373679,0045-1150,PB1010890,l'avant-scène cinéma,
i275463813,c24369780,0015-153X,PB1010180,filmfacts,
i275484932,c24501906,0146-0013,PB1014645,quarterly review of film studies,
i275469220,c24497460,0009-7071 0009-7071 4,PB1012308,cinema canada,
i275461415,c24373679,0045-1150,PB1011706,l'avant-scène cinéma,
